,X.1,X,City,TotalDeaths,Massachusetts.Cities.by.Population.Rank,Population,County,Year,Deaths,DeathsPerCapita,TotalDeathsPerCapita
1253,1253,1253,North Reading,12,130,15735,Middlesex,2016,2,0.000127105,0.000762631
1254,1254,1254,Northampton,33,65,28593,Hampshire,2016,8,0.000279789,0.001154129
1255,1255,1255,Northborough,5,134,15033,Worcester,2016,3,0.000199561,0.000332602
1256,1256,1256,Northbridge,12,120,16630,Worcester,2016,2,0.000120265,0.000721587
1257,1257,1257,Northfield,1,277,2988,Franklin,2016,0,0,0.000334672
1258,1258,1258,Norton,22,96,19882,Bristol,2016,7,0.000352077,0.001106529
1259,1259,1259,Norwell,11,173,11067,Plymouth,2016,1,9.04E-05,0.000993946
1260,1260,1260,Norwood,28,60,29195,Norfolk,2016,6,0.000205515,0.000959068
1261,1261,1261,Oak Bluffs,7,255,4678,Dukes,2016,1,0.000213767,0.001496366
1262,1262,1262,Oakham,0,289,1946,Worcester,2016,0,0,0
1263,1263,1263,Orange,9,214,7651,Franklin,2016,1,0.000130702,0.001176317
1264,1264,1264,Orleans,3,237,5820,Barnstable,2016,2,0.000343643,0.000515464
1265,1265,1265,Otis,1,308,1549,Berkshire,2016,1,0.000645578,0.000645578
1266,1266,1266,Oxford,21,145,13980,Worcester,2016,7,0.000500715,0.001502146
1267,1267,1267,Palmer,9,NA,21140,Hampden,2016,4,0.000189215,0.000425733
1268,1268,1268,Paxton,3,252,4881,Worcester,2016,0,0,0.000614628
1269,1269,1269,Peabody,71,25,52987,Essex,2016,11,0.000207598,0.001339951
1270,1270,1270,Pelham,0,313,1325,Hampshire,2016,0,0,0
1271,1271,1271,Pembroke,24,105,18377,Plymouth,2016,8,0.000435327,0.00130598
1272,1272,1272,Pepperell,10,160,12146,Middlesex,2016,1,8.23E-05,0.000823316
1273,1273,1273,Peru,1,332,837,Berkshire,2016,0,0,0.001194743
1274,1274,1274,Petersham,1,318,1250,Worcester,2016,0,0,8.00E-04
1275,1275,1275,Phillipston,0,300,1744,Worcester,2016,0,0,0
1276,1276,1276,Pittsfield,76,33,42591,Berkshire,2016,19,0.000446104,0.001784415
1277,1277,1277,Plainfield,0,339,662,Hampshire,2016,0,0,0
1278,1278,1278,Plainville,13,192,9154,Norfolk,2016,3,0.000327726,0.001420144
1279,1279,1279,Plymouth,91,18,59885,Plymouth,2016,25,0.000417467,0.001519579
1280,1280,1280,Plympton,3,278,2971,Plymouth,2016,2,0.000673174,0.001009761
1281,1281,1281,Princeton,4,267,3454,Worcester,2016,1,0.000289519,0.001158078
1282,1282,1282,Provincetown,1,280,2959,Barnstable,2016,0,0,0.000337952
1283,1283,1283,Quincy,196,8,94166,Norfolk,2016,45,0.000477879,0.002081431
1284,1284,1284,Randolph,41,50,34272,Norfolk,2016,11,0.000320962,0.001196312
1285,1285,1285,Raynham,17,140,14203,Bristol,2016,2,0.000140815,0.00119693
1286,1286,1286,Reading,17,75,26106,Middlesex,2016,4,0.000153221,0.000651191
1287,1287,1287,Rehoboth,4,158,12188,Bristol,2016,0,0,0.000328192
1288,1288,1288,Revere,110,24,53993,Suffolk,2016,26,0.000481544,0.002037301
1289,1289,1289,Richmond,1,311,1412,Berkshire,2016,0,0,0.000708215
1290,1290,1290,Rochester,3,239,5575,Plymouth,2016,0,0,0.000538117
1291,1291,1291,Rockland,55,110,17957,Plymouth,2016,22,0.001225149,0.003062872
1292,1292,1292,Rockport,9,215,7246,Essex,2016,1,0.000138007,0.001242065
1293,1293,1293,Rowe,0,343,388,Franklin,2016,0,0,0
1294,1294,1294,Rowley,5,230,6325,Essex,2016,0,0,0.000790514
1295,1295,1295,Royalston,3,314,1272,Worcester,2016,1,0.000786164,0.002358491
1296,1296,1296,Russell,0,297,1793,Hampden,2016,0,0,0
1297,1297,1297,Rutland,5,195,8700,Worcester,2016,2,0.000229885,0.000574713
1298,1298,1298,Salem,74,32,43415,Essex,2016,18,0.000414603,0.00170448
1299,1299,1299,Salisbury,31,189,9400,Essex,2016,12,0.001276596,0.003297872
1300,1300,1300,Sandisfield,0,327,893,Berkshire,2016,0,0,0
1301,1301,1301,Sandwich,14,94,20303,Barnstable,2016,4,0.000197015,0.000689553
1302,1302,1302,Saugus,46,68,28251,Essex,2016,13,0.000460161,0.001628261
1303,1303,1303,Savoy,0,338,680,Berkshire,2016,0,0,0
1304,1304,1304,Scituate,17,103,18688,Plymouth,2016,3,0.000160531,0.000909675
1305,1305,1305,Seekonk,10,131,15548,Bristol,2016,4,0.000257268,0.00064317
1306,1306,1306,Sharon,10,106,18277,Norfolk,2016,1,5.47E-05,0.000547136
1307,1307,1307,Sheffield,1,274,3149,Berkshire,2016,0,0,0.000317561
1308,1308,1308,Shelburne,3,296,1848,Franklin,2016,1,0.000541126,0.001623377
1309,1309,1309,Sherborn,4,259,4323,Middlesex,2016,1,0.000231321,0.000925283
1310,1310,1310,Shirley,7,213,7672,Middlesex,2016,0,0,0.000912409
1311,1311,1311,Shrewsbury,24,43,37387,Worcester,2016,7,0.000187231,0.000641934
1312,1312,1312,Shutesbury,0,299,1754,Franklin,2016,0,0,0
1313,1313,1313,Somerset,17,107,18176,Bristol,2016,5,0.000275088,0.000935299
1314,1314,1314,Somerville,81,12,81360,Middlesex,2016,21,0.000258112,0.000995575
1315,1315,1315,South Hadley,13,111,17791,Hampshire,2016,4,0.000224833,0.000730707
1316,1316,1316,Southampton,5,232,6196,Hampshire,2016,2,0.000322789,0.000806972
1317,1317,1317,Southborough,1,180,10136,Worcester,2016,1,9.87E-05,9.87E-05
